Title;Available Globally?;Release Date;Hours Viewed;Language Indicator;Content Type
The Night Agent: Season 1;Yes;23/03/23;81,21,00,000;English;Show
Ginny & Georgia: Season 2;Yes;05/01/23;66,51,00,000;English;Show
The Glory: Season 1 // ‘Ó üÛ‘ÁÏ‘_Â: “ÜÏ“_Î 1;Yes;30/12/22;62,28,00,000;Korean;Show
Wednesday: Season 1;Yes;23/11/22;50,77,00,000;English;Show
Queen Charlotte: A Bridgerton Story;Yes;04/05/23;50,30,00,000;English;Movie
You: Season 4;Yes;09/02/23;44,06,00,000;English;Show
La Reina del Sur: Season 3;No;30/12/22;42,96,00,000;English;Show
Outer Banks: Season 3;Yes;23/02/23;40,25,00,000;English;Show
Ginny & Georgia: Season 1;Yes;24/02/21;30,21,00,000;English;Show
FUBAR: Season 1;Yes;25/05/23;26,62,00,000;English;Show
Manifest: Season 4;Yes;04/11/22;26,26,00,000;English;Show
Kaleidoscope: Limited Series;Yes;01/01/23;25,25,00,000;English;Movie
Firefly Lane: Season 2;Yes;02/12/22;25,15,00,000;English;Show
The Mother;Yes;12/05/23;24,99,00,000;English;Movie
Physical: 100: Season 1 // ’Ó_“¤Û“ÈÂ: 100: “ÜÏ“_Î 1;Yes;24/01/23;23,50,00,000;Korean;Show
Crash Course in Romance: Limited Series // “_’ÄÛ “__“¼Ó‘Ò_: ‘_Â‘øü’Ü¡‘ÒÏ “ÜÏ‘_Â“_ö;Yes;14/01/23;23,48,00,000;Korean;Movie
Love Is Blind: Season 4;Yes;24/03/23;22,97,00,000;English;Show
BEEF: Season 1;Yes;06/04/23;22,11,00,000;English;Show
The Diplomat: Season 1;Yes;20/04/23;21,41,00,000;English;Show
Luther: The Fallen Sun;Yes;10/03/23;20,97,00,000;English;Movie
Fake Profile: Season 1 // Perfil falso: Temporada 1;No;31/05/23;20,65,00,000;English;Show
Vikings: Valhalla: Season 2;Yes;12/01/23;20,55,00,000;English;Show
Extraction 2;Yes;16/06/23;20,18,00,000;English;Movie
XO, Kitty: Season 1;Yes;18/05/23;20,07,00,000;English;Show
Doctor Cha: Limited Series // ‘Ü´’ã¡ “¡¬“Ê¥“öª: ‘_Â‘øü’Ü¡‘ÒÏ “ÜÏ‘_Â“_ö;Yes;15/04/23;19,47,00,000;Korean;Movie
Shadow and Bone: Season 2;Yes;16/03/23;19,29,00,000;English;Show
Outer Banks: Season 1;Yes;15/04/20;18,40,00,000;English;Show
Sweet Tooth: Season 2;Yes;27/04/23;18,23,00,000;English;Show
You People;Yes;27/01/23;18,18,00,000;English;Movie
Perfect Match: Season 1;Yes;14/02/23;17,68,00,000;English;Show
Sex/Life: Season 2;Yes;02/03/23;17,55,00,000;English;Show
The Marked Heart: Season 2 // PÌÁlpito: Temporada 2;Yes;19/04/23;17,43,00,000;Non-English;Show
Murder Mystery 2;Yes;31/03/23;17,36,00,000;English;Movie
The Surrogacy: Season 1 // Madre de alquiler: Temporada 1;No;14/06/23;17,24,00,000;English;Show
Pablo Escobar, el patrÌ_n del mal: Season 1;Yes;;17,01,00,000;Non-English;Show
Never Have I Ever: Season 4;Yes;08/06/23;16,83,00,000;English;Show
Your Place or Mine;Yes;10/02/23;16,30,00,000;English;Movie
Chiquititas (2013);No;;16,20,00,000;English;Movie
Emily in Paris: Season 3;Yes;21/12/22;16,11,00,000;English;Show
Alice in Borderland: Season 2 // ŠÈ__İ‹¨Œİ_‹¨‹â¢‹Ä»‹â_: ‹âá‹Ä_‹â¼‹Ä_2;Yes;22/12/22;15,76,00,000;Japanese;Show
Alchemy of Souls: Part 1 // ’ª÷’÷_: ’ÎÎ’_ü 1;Yes;18/06/22;15,53,00,000;Korean;Movie
Outer Banks: Season 2;Yes;30/07/21;15,39,00,000;English;Show
New Amsterdam (2018): Season 1;No;;15,30,00,000;English;Show
Til Money Do Us Part: Season 1 // Hasta que la plata nos separe: Temporada 1;No;19/10/22;15,21,00,000;English;Show
Mr. Queen // “_Ê“ü“ª¥’İã;No;;15,15,00,000;Korean;Movie
Manifest: Season 1;No;10/06/21;15,14,00,000;English;Show
Alchemy of Souls: Part 2 // ’ª÷’÷_: ’ÎÎ’_ü 2;Yes;10/12/22;15,02,00,000;Korean;Movie
PAW Patrol: Season 6;No;;14,93,00,000;English;Show
The Good Bad Mother: Limited Series // ‘â÷“Ï“Ñã‘¤ö: ‘_Â‘øü’Ü¡‘ÒÏ “ÜÏ‘_Â“_ö;Yes;26/04/23;14,86,00,000;Korean;Movie
The Recruit: Season 1;Yes;16/12/22;14,69,00,000;English;Show
Bloodhounds: Season 1 // “âÂ‘Ä´¡Ï‘Ò_: “ÜÏ“_Î 1;Yes;09/06/23;14,67,00,000;Korean;Show
Glass Onion: A Knives Out Mystery;Yes;23/12/22;14,29,00,000;English;Movie
Wrong Side of the Tracks: Season 2 // EntrevÌ_as: Temporada 2;No;01/03/23;14,01,00,000;Non-English;Show
Black Mirror: Season 6;Yes;15/06/23;13,99,00,000;English;Show
Triptych: Season 1 // TrÌ_ada: Temporada 1;Yes;22/02/23;13,93,00,000;Non-English;Show
The Walking Dead: Season 11;No;;13,68,00,000;English;Show
Bridgerton: Season 1;Yes;25/12/20;13,66,00,000;English;Show
CoComelon: Season 1;No;31/05/20;13,62,00,000;English;Show
Extraordinary Attorney Woo: Season 1 // “«“Ä’¥Ï ‘_Û’÷ü“âÂ “_¡“÷“_¡: “ÜÏ“_Î 1;Yes;29/06/22;13,59,00,000;Korean;Show
The Snow Girl: Season 1 // La chica de nieve: Temporada 1;Yes;27/01/23;13,48,00,000;English;Show
Stranger Things 4;Yes;27/05/22;13,36,00,000;English;Movie
The Marked Heart: Season 1 // PÌÁlpito: Temporada 1;Yes;20/04/22;13,35,00,000;Non-English;Show
Bridgerton: Season 2;Yes;25/03/22;13,34,00,000;English;Show
Little Angel: Volume 1;Yes;;13,21,00,000;English;Movie
PAW Patrol: Season 5;No;;13,07,00,000;English;Show
PasiÌ_n de Gavilanes: Season 1;No;;12,92,00,000;Non-English;Show
Suits (2011): Season 1;Yes;;12,91,00,000;English;Show
Sex/Life: Season 1;Yes;25/06/21;12,64,00,000;English;Show
We Have a Ghost;Yes;24/02/23;12,44,00,000;English;Movie
You: Season 1;Yes;26/12/18;12,35,00,000;English;Show
Business Proposal: Season 1 // “âÂ‘â«‘¤_“ãÊ: “ÜÏ“_Î 1;Yes;28/02/22;12,07,00,000;Korean;Show
The Pale Blue Eye;Yes;06/01/23;12,05,00,000;English;Movie
Crash Landing on You: Season 1 // “âÂ‘_Ô“÷ ‘¦ö“ÜÏ“¡©: “ÜÏ“_Î 1;Yes;14/12/19;12,03,00,000;Korean;Show
AKA;Yes;28/04/23;12,00,00,000;English;Movie
MH370: The Plane That Disappeared: Limited Series;Yes;08/03/23;11,89,00,000;English;Movie
Queenmaker: Season 1 // ’Ûü‘©Ó“«“È_: “ÜÏ“_Î 1;Yes;14/04/23;11,86,00,000;Korean;Show
Vikings: Valhalla: Season 1;Yes;25/02/22;11,65,00,000;English;Show
Breaking Bad: Season 2;No;;11,62,00,000;English;Show
Muted: Limited Series // El silencio: Miniserie;Yes;19/05/23;11,58,00,000;English;Movie
Lockwood & Co.: Season 1;Yes;27/01/23;11,36,00,000;English;Show
You: Season 3;Yes;15/10/21;10,72,00,000;English;Show
Breaking Bad: Season 5;No;;10,70,00,000;English;Show
Suits (2011): Season 2;Yes;;10,66,00,000;English;Show
Murdaugh Murders: A Southern Scandal: Season 1;Yes;22/02/23;10,46,00,000;English;Show
Welcome to Eden: Season 2 // Bienvenidos a EdÌ©n: Temporada 2;Yes;21/04/23;10,45,00,000;Non-English;Show
Breaking Bad: Season 3;No;;10,43,00,000;English;Show
Lucifer: Season 3;No;03/10/17;10,28,00,000;English;Show
CoComelon: Season 2;No;17/12/20;10,23,00,000;English;Show
CafÌ© con aroma de mujer: Season 1;No;29/12/21;10,17,00,000;Non-English;Show
Love to Hate You: Season 1 // “Ñ¡“¥Ê‘ÎÛ“Êã: “ÜÏ“_Î 1;Yes;10/02/23;9,99,00,000;Korean;Show
The Blacklist: Season 1;No;;9,99,00,000;English;Show
Shadow and Bone: Season 1;Yes;23/04/21;9,95,00,000;English;Show
The Unbroken Voice: Season 1 // Canto para no llorar, Arelys Henao: Temporada 1;No;23/11/22;9,90,00,000;English;Show
Designated Survivor: Season 1;Yes;22/09/16;9,85,00,000;English;Show
The Interest of Love: Limited Series // “âÂ‘_Ô“÷ “«’¥«: ‘_Â‘øü’Ü¡‘ÒÏ “ÜÏ‘_Â“_ö;Yes;21/12/22;9,78,00,000;Korean;Movie
Wrong Side of the Tracks: Season 1 // EntrevÌ_as: Temporada 1;No;20/05/22;9,76,00,000;Non-English;Show
Minions: The Rise of Gru;No;;9,64,00,000;English;Movie
Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc // Â_¾ÈÉ‹¨ŒöÄ: ÇöĞÛâ_¾_ÈÄ_ ÇÜŒÀÑá¬;No;;9,58,00,000;Japanese;Movie
The Blacklist: Season 9;No;;9,57,00,000;English;Show
That '90s Show: Part 1;Yes;19/01/23;9,51,00,000;English;Movie
You: Season 2;Yes;26/12/19;9,50,00,000;English;Show
La Reina del Sur: Season 1;No;05/09/11;9,47,00,000;English;Show
All of Us Are Dead: Season 1 // “¤Ûüö “_¡‘_Â ’¥ªµ‘_Ó: “ÜÏ“_Î 1;Yes;28/01/22;9,46,00,000;Korean;Show
New Amsterdam (2018): Season 2;No;;9,44,00,000;English;Show
Black Knight: Season 1 // ’Ä‘¡¡ü¡“âÂ: “ÜÏ“_Î 1;Yes;12/05/23;9,43,00,000;Korean;Show
Breaking Bad: Season 4;No;;9,43,00,000;English;Show
Obsession: Limited Series;Yes;13/04/23;9,42,00,000;English;Movie
Who Were We Running From?: Limited Series // Biz Kimden KaÌ¤€±yorduk Anne?: Mini Dizi;Yes;24/03/23;9,29,00,000;Non-English;Movie
La Reina del Sur: Season 2;No;16/08/19;9,25,00,000;English;Show
Hunger // ˆüãˆüªˆüÇˆü«ˆü¤ ˆ_ÛˆüˆüÁˆüˆü£ˆü¡ˆüÇˆü_ˆü¢;Yes;08/04/23;9,23,00,000;Non-English;Movie
Alice in Borderland: Season 1 // ŠÈ__İ‹¨Œİ_‹¨‹â¢‹Ä»‹â_: ‹âá‹Ä_‹â¼‹Ä_1;Yes;10/12/20;9,22,00,000;Japanese;Show
CoComelon: Season 3;No;31/05/21;9,14,00,000;English;Show
Firefly Lane: Season 1;Yes;03/02/21;9,12,00,000;English;Show
Women at War: Limited Series // Les Combattantes: Mini-sÌ©rie;Yes;27/10/22;9,08,00,000;Non-English;Movie
Formula 1: Drive to Survive: Season 5;Yes;24/02/23;9,02,00,000;English;Show
Sweet Tooth: Season 1;Yes;04/06/21;8,90,00,000;English;Show
S.W.A.T. (2017): Season 1;No;;8,86,00,000;English;Show
Murder Mystery;Yes;14/06/19;8,79,00,000;English;Movie
True Beauty // “ÑÂ“ÜÊ¡¥‘__;No;;8,73,00,000;Korean;Movie
Squid Game: Season 1 // “÷_“¤¥“Ğ« _Î“_ã: “ÜÏ“_Î 1;Yes;17/09/21;8,72,00,000;Korean;Show
Little Angel: Volume 2;Yes;;8,62,00,000;English;Movie
Manifest: Season 2;No;10/06/21;8,62,00,000;English;Show
Extraction;Yes;24/04/20;8,61,00,000;English;Movie
Lucifer: Season 2;No;31/08/17;8,61,00,000;English;Show
Lady Voyeur: Limited Series // Olhar Indiscreto: MinissÌ©rie;Yes;31/12/22;8,60,00,000;Non-English;Movie
Woman of the Dead: Season 1 // Totenfrau: Season 1;Yes;15/11/22;8,54,00,000;English;Show
The Law According to Lidia PoÌÇt: Season 1 // La legge di Lidia PoÌÇt: Stagione 1;Yes;15/02/23;8,50,00,000;Non-English;Show
Florida Man: Limited Series;Yes;13/04/23;8,46,00,000;English;Movie
Lucifer: Season 1;No;23/07/17;8,44,00,000;English;Show
Shahmaran: Season 1 // _ahmaran: Season 1;Yes;20/01/23;8,36,00,000;Non-English;Show
Breaking Bad: Season 1;No;;8,32,00,000;English;Show
The Last Kingdom: Seven Kings Must Die;Yes;14/04/23;8,32,00,000;English;Movie
Selling Sunset: Season 6;Yes;19/05/23;8,28,00,000;English;Show
CoComelon: Season 4;No;14/10/21;8,25,00,000;English;Show
Suits (2011): Season 3;Yes;;8,25,00,000;English;Show
Sam & Cat: Season 1;No;;8,24,00,000;English;Show
Gilmore Girls: Season 1;Yes;;8,21,00,000;English;Show
Sonic Prime: Season 1;Yes;15/12/22;8,21,00,000;English;Show
Peppa Pig: Season 1;No;;8,18,00,000;English;Show
Manifest: Season 3;No;21/08/21;8,17,00,000;English;Show
Roald Dahl's Matilda The Musical;Yes;25/12/22;8,10,00,000;English;Movie
Better Call Saul: Season 6;No;19/04/22;8,08,00,000;English;Show
Sing (2016);No;;8,05,00,000;English;Movie
Hajime no Ippo: The Fighting!: Season 1 // ‹ø‹÷‹â‹¨ŠüÛ¾_©: ‹âá‹Ä_‹â¼‹Ä_1;No;;8,03,00,000;Japanese;Show
All Quiet on the Western Front // Im Westen nichts Neues;Yes;28/10/22;8,00,00,000;English;Movie
Sky High: The Series: Season 1 // Hasta el cielo: La serie: Season 1;Yes;17/03/23;7,97,00,000;English;Show
Alpha Males: Season 1 // Machos alfa: Season 1;No;30/12/22;7,82,00,000;English;Show
Record of Ragnarok: Season 2 // µâ¾ÏÇ‹¨‹Äø‹ÄÇ‹â_‹Ä´‹Ä_‹ÄÂ: ‹âá‹Ä_‹â¼‹Ä_•_Õ;No;26/01/23;7,82,00,000;Japanese;Show
Chupa;Yes;07/04/23;7,78,00,000;English;Movie
Stranger Things;Yes;15/07/16;7,78,00,000;English;Movie
Paw Patrol: The Movie;No;;7,72,00,000;English;Movie
Sing 2;No;;7,66,00,000;English;Movie
The Crown: Season 5;Yes;09/11/22;7,63,00,000;English;Show
Next in Fashion: Season 2;Yes;03/03/23;7,57,00,000;English;Show
Gilmore Girls: Season 2;Yes;;7,52,00,000;English;Show
Lucifer: Season 5;No;21/08/20;7,52,00,000;English;Show
The Boss Baby;No;;7,51,00,000;English;Movie
Treason: Limited Series;Yes;26/12/22;7,43,00,000;English;Movie
Trolls;No;;7,34,00,000;English;Movie
Blood Ties: Season 1 // Las Villamizar: Season 1;No;;7,33,00,000;English;Show
Money Heist: Part 1 // La casa de papel: Parte 1;Yes;01/07/17;7,31,00,000;English;Movie
Rough Diamonds: Season 1;Yes;21/04/23;7,28,00,000;English;Show
Vincenzo: Season 1 // ‘_ö“ã_“Á¡: “ÜÏ“_Î 1;Yes;20/02/21;7,28,00,000;Korean;Show
The Walking Dead: Season 10;No;;7,22,00,000;English;Show
The Witcher: Season 1;Yes;20/12/19;7,22,00,000;English;Show
Gabby's Dollhouse: Season 1;Yes;05/01/21;7,16,00,000;English;Show
The Walking Dead: Season 3;No;;7,16,00,000;English;Show
Carrossel;No;;7,13,00,000;English;Movie
Gilmore Girls: Season 3;Yes;;7,13,00,000;English;Show
Red Rose: Season 1;Yes;15/02/23;7,11,00,000;English;Show
Fauda: Season 4 // ____¥_Ò_Ó: _¢_¥_Ê_Ó 4;Yes;20/01/23;7,10,00,000;Non-English;Show
New Amsterdam (2018): Season 3;No;;7,06,00,000;English;Show
Gilmore Girls: Season 5;Yes;;6,99,00,000;English;Show
Gilmore Girls: Season 4;Yes;;6,98,00,000;English;Show
The Blacklist: Season 2;No;;6,97,00,000;English;Show
Divorce Attorney Shin: Limited Series // “ÜÊ“ã±’¥Ï, “«’÷_: ‘_Â‘øü’Ü¡‘ÒÏ “ÜÏ‘_Â“_ö;Yes;04/03/23;6,95,00,000;Korean;Movie
Stranger Things 2;Yes;27/10/17;6,92,00,000;English;Movie
Hometown Cha-Cha-Cha: Season 1 // ¡ø‘¤ö“ã “¡¬“¡¬“¡¬: “ÜÏ“_Î 1;Yes;28/08/21;6,90,00,000;Korean;Show
Love Is Blind: Season 3;Yes;19/10/22;6,89,00,000;English;Show
Kill Boksoon // üü‘_µ“öÏ;Yes;31/03/23;6,85,00,000;Korean;Movie
The Thundermans: Season 1;No;;6,85,00,000;English;Show
The Flash (2014): Season 1;No;;6,82,00,000;English;Show
Red Notice;Yes;12/11/21;6,81,00,000;English;Movie
Henry Danger: Season 1;No;;6,78,00,000;English;Show
The Queen of Flow: Season 2 // La reina del flow: Temporada 2;No;17/11/21;6,78,00,000;English;Show
The Walking Dead: Season 2;No;;6,77,00,000;English;Show
Viking Wolf // Vikingulven;Yes;03/02/23;6,75,00,000;English;Movie
Designated Survivor: Season 2;Yes;28/09/17;6,72,00,000;English;Show
Bebefinn: Season 1;Yes;;6,71,00,000;English;Show
Hotel Transylvania 2;No;;6,70,00,000;English;Movie
Stranger Things 3;Yes;04/07/19;6,70,00,000;English;Movie
Masha and the Bear: Season 1;No;;6,67,00,000;English;Show
Outlander: Season 1;No;31/03/16;6,65,00,000;English;Show
Grizzy and the Lemmings: Season 2;No;;6,60,00,000;English;Show
Single‰Ûªs Inferno: Season 2 // “ Ó‘ÁÏ“¤Û“÷´: “ÜÏ“_Î 2;Yes;13/12/22;6,59,00,000;Korean;Show
The Witcher: Blood Origin: Limited Series;Yes;25/12/22;6,53,00,000;English;Movie
The Nurse: Limited Series // Sygeplejersken: Miniserie;Yes;27/04/23;6,52,00,000;English;Movie
The Watcher: Season 1;Yes;13/10/22;6,44,00,000;English;Show
Jumanji: The Next Level;No;;6,43,00,000;English;Movie
Suits (2011): Season 4;Yes;;6,42,00,000;English;Show
Gilmore Girls: Season 6;Yes;;6,39,00,000;English;Show
The Tailor: Season 1 // Terzi: 1. Sezon;Yes;02/05/23;6,39,00,000;English;Show
All American: Season 5;No;;6,37,00,000;English;Show
Peppa Pig: Season 2;No;;6,37,00,000;English;Show
DAHMER: Monster: The Jeffrey Dahmer Story;Yes;21/09/22;6,35,00,000;English;Movie
The Blacklist: Season 3;No;;6,35,00,000;English;Show
Narvik;No;23/01/23;6,31,00,000;English;Movie
Home (2015);No;;6,28,00,000;English;Movie
The Sea Beast;Yes;08/07/22;6,27,00,000;English;Movie
The Walking Dead: Season 4;No;;6,23,00,000;English;Show
Harry & Meghan: Limited Series;Yes;08/12/22;6,20,00,000;English;Movie
The Walking Dead: Season 5;No;;6,20,00,000;English;Show
My Dad the Bounty Hunter: Season 1;Yes;09/02/23;6,18,00,000;English;Show
Dog Gone;Yes;13/01/23;6,16,00,000;English;Movie
Maid: Limited Series;Yes;01/10/21;6,15,00,000;English;Movie
PasiÌ_n de Gavilanes: Season 2;No;;6,15,00,000;Non-English;Show
A Man Called Otto;No;;6,13,00,000;English;Movie
Peaky Blinders: Season 1;No;30/09/14;6,11,00,000;English;Show
Victorious: Season 1;No;;6,11,00,000;English;Show
Never Have I Ever: Season 1;Yes;27/04/20;6,10,00,000;English;Show
THE DAYS: Limited Series;No;01/06/23;6,08,00,000;English;Movie
Eva Lasting: Season 1 // La primera vez: Temporada 1;Yes;15/02/23;6,06,00,000;English;Show
Unseen: Season 1;Yes;29/03/23;6,01,00,000;English;Show
